Player,Team_x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,WS,WS/48,Pick,Pos,Weight,Age,Pre-Draft Team,Agility,Shuttle Run,Sprint,Standing Vertical,Max Vertical Leap,Max Bench Press,Body Fat Percentage,Hand Length,Hand Width,Heightw/oshoesinches,Heightw/shoesinches,Standing_Reach_inches,Wingspan_inches
Jackson Vroman,ISU,32,30.7,5.8,10.3,0.564,0,0.2,0.143,2.2,4.4,0.507,3.2,3.5,3.7,6.1,9.8,2.3,1.4,0.7,13.9,0.55,0.552,106.8,10.2,25.2,18,12,18.1,2,5.2,23,-4.4,1.4,105,88.9,16.1,358.1,21,0.1,0.014,31,FC,220,23,Iowa State,10.75,-,3.25,29.5,33.5,12,0.067,-,-,81.25,82.75,105.5,84
Reggie Bullock,UNC,35,31.4,4.9,10.2,0.483,2.5,5.8,0.436,1.6,2.1,0.767,1.2,1.4,2,4.4,6.5,2.9,1.3,0.3,13.9,0.625,0.607,168.6,6.6,15.5,10.9,16.6,9.9,2.2,0.9,18.5,2,1.4,130.4,96.5,33.9,467.9,22.4,2.9,0.115,25,SF/SG,205,22,North Carolina,11.33,3.3,3.31,31,36.5,11,0.0695,8.5,9,77.75,79,102,80.75
DeMar DeRozan,USC,35,33.4,5.5,10.5,0.523,0.2,1,0.167,2.7,4.2,0.651,2.1,2.1,2.4,3.3,5.7,1.5,0.9,0.4,13.9,0.556,0.531,134.1,9.1,11.7,10.5,9.6,14.3,1.6,1.2,22.8,-3.4,1.3,111.2,99.9,11.3,312.2,18.5,9.9,0.169,9,SG/SF,221,19,USC,11.88,-,3.31,29,38.5,5,0.049,-,-,77.5,78.5,102.5,81
Patrick Beverley,U of A,35,34.4,4.3,10,0.427,2.1,5.4,0.386,3.2,3.9,0.812,2,2.2,1.1,3.3,4.5,3.1,1.7,0.4,13.9,0.582,0.531,162.5,4.1,10.8,7.7,18.2,14.4,3,1.2,20.4,0.3,1.4,118.4,97.8,20.6,373.5,18.8,5.3,0.123,,,,,,,,,,,,,,,,,,
Aaron Gray,PITT,33,27.9,5.2,9.8,0.526,0,0,0,3.6,5.6,0.634,2.7,2.6,3.7,6.8,10.5,1.8,0.6,1.5,13.9,0.567,0.565,111.3,14.7,25.3,20.2,13.7,11.1,0.9,7,25.9,-1.5,1.4,117.9,92.1,25.7,489.2,27,1.4,0.082,49,C,270,22,Pittsburgh,12.07,-,3.7,27,32.5,17,0.108,-,-,84,85.75,108.5,87.25
Deron Williams,U of I,30,33.9,4.7,11.7,0.401,2.2,5.7,0.394,2,2.5,0.787,2.5,2.3,0.5,2.8,3.2,6.2,1,0.3,14,0.542,0.496,158.1,1.7,10,5.9,35.2,16.2,2,1.1,24.2,5.1,1.2,112.9,101.7,11.3,322.1,18.1,11.3,0.177,3,PG,200,21,Illinois,10.83,-,3.25,30,35,15,-%,-,-,73.75,74.75,98,78.25
David Lee,JAC,28,32.3,4.5,11.4,0.391,2.1,6.5,0.331,3,3.7,0.798,2.6,2.3,1,2.7,3.7,1.8,0.8,0.1,14,0.634,0.586,135.8,10.1,18.4,14.6,20.5,15.8,2.4,2.1,23.2,-0.5,1.6,125.2,98.4,26.7,370.9,24.4,10.3,0.163,30,PF/C,245,22,Florida,10.8,-,3.19,30.5,32.5,14,-%,-,-,79.75,81,106.5,84
Dee Brown,U of I,32,35.8,4.7,13.1,0.356,2.3,7.3,0.319,2.4,3.2,0.755,2.8,1.8,0.5,2.7,3.2,5.8,1.6,0,14.1,0.653,0.636,170.5,1.9,7.3,4.7,25.1,15.5,3.4,0.3,19.4,3.6,1.4,128,95.9,32.1,443.4,20.3,0.2,0.024,46,G,185,21,Illinois,-,-,-,-,-,-,-%,-,-,71,72,94,74
Josh Childress,SU,33,34.2,5.1,11.9,0.427,1.5,4.4,0.333,2.5,3.5,0.719,2,2.2,2.2,5.8,8.1,2.1,1.2,1.4,14.1,0.521,0.489,148,7.6,19.2,13.5,12.6,12.7,2,4.1,22.2,-1.6,1.2,111.4,94,17.4,399.8,19.3,7.6,0.16,6,SG/SF,210,21,Stanford,11.95,-,3.38,29,36,11,0.093,-,-,77.75,79.25,105,83
JaVale McGee,UNR,33,27.3,5.7,10.8,0.529,0.4,1.3,0.333,2.2,4.3,0.525,2.4,2.5,2.5,4.8,7.3,0.6,0.8,2.8,14.1,0.55,0.549,138.8,11.1,18.9,15.2,4.7,15.9,1.7,9.8,27.7,-7.3,1.3,103.5,93.8,9.7,364.6,23.2,5.3,0.115,18,C/PF,270,20,Nevada,12.75,-,3.25,27,32.5,7,0.053,-,-,83,84,114.5,90
Derrick Caracter,UTEP,27,26.7,5.5,9.7,0.567,0.1,0.6,0.267,3,4.4,0.672,2.9,3,2.7,5.4,8.1,1.1,1,0.8,14.1,0.598,0.575,150.6,12,22.1,17.3,9.3,19.5,2.1,3.5,27.6,-7.6,1.5,106.4,89.3,17.1,281.1,22.6,0.3,0.057,58,PF,276,22,UTEP,12.78,-,3.61,25,30.5,22,0.128,9,10.25,80.25,81.5,107.5,84.25
Archie Goodwin,UK,33,31.8,4.8,10.8,0.44,0.5,1.9,0.266,4.1,6.4,0.637,3.1,2.9,1.5,3.2,4.6,2.7,1.1,0.5,14.1,,,,,,,,,,,,,,,,,,,0.7,0.153,29,SG,205,18,Kentucky,10.75,3.41,3.27,30,36,1,0.0455,8.5,9,75.75,77.25,102,81.5
Daniel Gibson,UT,31,32.8,4.2,10.1,0.417,2.4,6,0.398,3.3,4.4,0.752,3.1,2.5,0.5,3.2,3.6,3.9,1.8,0.3,14.2,0.555,0.531,151.1,3.3,8.4,6,17.8,13.5,2.4,1.1,21,0.6,1.2,114.7,93,21.7,355.4,17.9,4.1,0.111,42,SG/PG,200,20,Texas,,,,,,,,,,,,,
Joakim Noah,UF,39,24.9,5.2,8.3,0.627,0,0,0,3.8,5.2,0.733,1.9,2.2,2.2,4.9,7.1,2.1,1.1,2.4,14.2,0.66,0.627,136,11,20.9,16.4,17.5,15.4,2.6,10,25.8,-2.3,1.7,127.2,84.3,42.9,565.5,31.2,11.2,0.19,9,C/PF,230,22,Florida,11.79,-,3.47,32.5,37.5,12,0.048,-,-,82,84,106.5,85.25
Earl Clark,U of L,37,34.3,5.5,11.9,0.457,0.8,2.6,0.326,2.4,3.8,0.647,3.2,1.9,2.8,5.9,8.7,3.2,1,1.4,14.2,0.531,0.5,135.6,8.9,22.6,15.9,9.6,17.9,2,6.6,22.8,-4.8,1.3,102.3,86.1,16.2,375.1,19.7,2.3,0.08,14,PF,234,21,Louisville,11.17,-,3.35,28.5,33,5,0.052,-,-,80.5,82.25,109.5,86.5
Jermareo Davidson,UA,31,33.8,5.4,11.4,0.477,0,0.1,0,3.4,4.6,0.746,2.2,2.2,2.8,6.1,8.9,1.2,0.9,1.9,14.3,0.527,0.477,122.4,9.9,19.8,15.1,8.1,13.8,1.6,6,24.1,-4.1,1.3,110,99.8,10.1,375.2,21.3,0.1,0.036,36,PF,230,22,Alabama,12.63,-,3.53,27,30,7,0.069,-,-,81,83,109.5,88
Taj Gibson,USC,35,33.7,5.4,9,0.601,0,0,0,3.4,5.2,0.659,2.1,2.9,3.5,5.5,9,1.3,1,2.9,14.3,0.621,0.601,126.1,13.2,19.1,16.3,8.2,15.2,1.8,9.5,21.1,-3.7,1.6,121.1,92,29.2,517,25.4,6,0.133,26,PF,236,24,USC,11.56,-,3.41,25.5,30,12,0.066,-,-,80.5,81.75,109,88
Jeff Green,GU,37,33.3,5.3,10.3,0.513,1,2.6,0.375,2.7,3.5,0.775,2.6,2.5,1.7,4.7,6.4,3.2,0.8,1.2,14.3,0.596,0.56,166.3,7.2,16.6,12.4,20.7,17.8,1.6,4.3,24.7,-1.6,1.4,117.6,94.7,22.9,434.6,22.6,6.6,0.105,5,PF,235,20,Georgetown,12,-,3.34,33.5,38,17,0.037,-,-,79,81.5,103,85.25
Kris Joseph,SU,34,32.4,4.6,10,0.457,1.3,3.6,0.366,3.8,5.3,0.711,2.1,1.9,1.1,4.2,5.3,2.2,1.5,0.6,14.3,0.569,0.523,153.4,4.1,13.8,9.2,12.8,14.6,2.8,2.3,23.2,-2.2,1.4,112.9,95.5,17.5,348.8,19.6,-0.1,-0.127,51,SF/SG,210,23,Syracuse,-,-,3.46,28.5,35,6,0.086,9,9,78,79,104,83
Khris Middleton,TAMU,33,29.6,4.8,10.7,0.449,1.2,3.3,0.361,3.5,4.5,0.784,2.7,2.1,1.9,3.3,5.2,2.8,1.2,0.1,14.3,0.558,0.504,159.4,8.4,13.5,11,23.4,17.4,2.6,0.2,27.8,-3,1.3,111.1,94.4,16.7,307.2,21.2,6.7,0.135,39,SF,234,20,Texas A&M,11.45,-,3.47,28,31,4,0.078,9,9,78.75,80.25,103,82.75
Kosta Koufos,OSU,37,27.1,6,11.8,0.508,0.6,1.7,0.349,1.8,2.7,0.68,1.5,2.2,2.6,4,6.6,0.5,0.4,1.8,14.4,0.551,0.533,153.7,11.7,15.8,13.9,4.5,10.2,1,7.7,28.4,-4.4,1.2,111.5,94.7,16.8,382,24.1,6.5,0.171,23,C,265,19,Ohio State,,,,,,,,,,,,,
Larry Sanders,VCU,35,26.9,5.6,10.5,0.534,0.1,0.5,0.25,3.1,4.8,0.641,1.7,2.9,3,6.1,9.1,1,0.7,2.5,14.4,0.563,0.54,142.5,12.9,24.5,18.8,7.8,11.5,1.6,8.8,26.7,-3.7,1.4,116.1,90.6,25.5,469.4,27.7,6,0.149,15,C/PF,235,21,VCU,12.49,-,3.27,25.5,28,7,0.046,9.75,11,81.25,82.5,112,89.75
Thaddeus Young,GT,31,29.6,5.7,11.9,0.478,1.3,3,0.419,1.7,2.3,0.743,2.2,2,2.3,2.5,4.9,2,1.3,0.4,14.4,0.552,0.531,164.1,9.3,10.3,9.8,12.9,14.2,2.4,1.5,24.2,-2.6,1.2,114.8,100.9,13.9,289,19.8,7.4,0.136,12,PF/SF,221,19,Georgia Tech,11.06,-,3.19,34.5,37,13,0.049,-,-,77.75,79.5,106,83.5
Javaris Crittenton,GT,32,31.3,4.9,11,0.45,1.1,3.2,0.356,3.4,4.3,0.783,3.9,2.1,0.9,2.8,3.7,5.8,2,0.1,14.4,0.552,0.501,158.9,3.3,10.9,7.1,32.3,22.9,3.7,0.2,25.6,-0.1,1.3,108.8,98.8,10,334.8,19.7,0.1,0.004,19,G,200,19,Georgia Tech,11.6,-,3.32,32.5,38,11,0.045,-,-,75,76.75,98,77.5
Marreese Speights,UF,36,24.3,6,9.6,0.624,0,0,0,2.5,3.6,0.692,1.7,2.3,2.6,5.5,8.1,0.9,0.4,1.4,14.5,0.64,0.624,131.7,12.7,26,19.4,8.4,13.2,1,5.9,27.1,-4.5,1.5,122.3,94.8,27.6,449.5,29.3,4.2,0.155,16,PF/C,255,20,Florida,,,,,,,,,,,,,
Shane Larkin,UM,36,36.4,5.1,10.6,0.479,1.9,4.7,0.406,2.4,3.1,0.777,2.3,1.6,0.5,3.4,3.8,4.6,2,0.1,14.5,0.6,0.569,166.2,1.6,10.4,6.2,26,15.9,3.4,0.3,21.3,2.2,1.4,119.3,94.4,24.8,428.8,21.4,1.7,0.045,18,PG,175,20,Miami (FL),10.64,3.03,3.08,34.5,44,12,0.038,7.5,8.75,70.25,71.5,89.5,70.75
Darren Collison,UCLA,33,34.7,4.9,10.1,0.482,1.6,3.1,0.525,3.1,3.5,0.872,2.2,1.3,0.5,2.1,2.6,3.8,1.8,0.1,14.5,0.623,0.567,179.9,1.9,7.9,4.9,28.4,16.7,3.1,0.5,23,2.7,1.5,124.7,99.5,25.3,385.1,22.9,5.9,0.136,21,PG,175,21,UCLA,10.45,-,3.1,30.5,33.5,9,0.057,-,-,72.25,73.5,96.5,75
Kim English,MU,35,33.6,4.9,9.4,0.521,2.2,4.9,0.459,2.5,3.4,0.725,1.7,2.3,0.9,3.4,4.2,1.6,1.3,0.3,14.5,0.658,0.64,170.5,3.4,12,7.9,8.6,13.3,2.3,0.9,20,-1.9,1.5,124,101,23,345.5,19.9,0.2,0.021,44,SG,200,23,Missouri,10.59,-,3.33,29,36.5,-,0.043,8.5,8.75,76.5,77.75,98,78.5
Jeff Ayres,ASU,35,32.5,5.7,8.6,0.66,0,0,0,3.2,4.1,0.779,1.2,2.7,2.5,5.7,8.2,0.9,0.5,0.9,14.5,0.69,0.66,143.9,10.7,22.1,16.7,6.7,10.4,1,3.3,21.1,-2.2,1.7,135.4,96.4,38.9,454.6,25.6,2.4,0.121,31,PF/C,240,22,Arizona State,11.98,-,3.14,31,35,15,0.055,-,-,80.75,82,107,85
Carrick Felix,ASU,35,35.3,5.4,10.8,0.5,1.5,4,0.374,2.3,3.5,0.664,2,3,2.1,6,8.1,1.6,1.4,1.1,14.6,0.586,0.569,153.8,7.1,18.5,13.1,9.6,13.8,2.4,3.2,21.3,-2.5,1.4,112.8,95.1,17.7,437.5,20.5,0,0.057,33,SF,201,22,Arizona State,11.16,3.09,3.25,32,38.5,15,0.033,8.5,9.5,76.75,78.25,103.5,81.25
Willie Warren,OU,36,31.3,4.8,10.1,0.473,1.9,5,0.372,3.2,4.1,0.781,2.2,2.2,0.5,1.7,2.2,3.1,1.1,0.1,14.6,0.606,0.565,162.6,1.9,5.6,3.9,19,15.6,2.1,0.2,22.4,-0.4,1.4,119.6,103,16.6,297.2,18.5,0.2,0.065,54,PG/SG,200,20,Oklahoma,11.21,-,3.5,23,31.5,10,0.076,8.5,9.5,74.5,75.75,99.5,78
Wilson Chandler,DEP,34,31.7,5.7,12.7,0.45,1.1,3.4,0.333,2.1,3.1,0.654,1.6,2.8,1.9,5.1,6.9,1.4,0.6,1.4,14.6,0.516,0.495,143.8,6.9,18.5,12.8,9.8,10.2,1.3,5,26.8,-2.3,1.2,106.8,97.9,8.9,339.6,20.5,3.9,0.079,23,PF/SF,225,20,DePaul,,,,,,,,,,,,,
A.J. Price,UConn,35,31.8,4.9,11.9,0.408,2.3,5.8,0.402,2.7,3.7,0.721,2.7,1.3,0.6,2.9,3.5,4.7,0.7,0,14.7,0.551,0.508,155.2,2.7,8.2,5.7,36.1,15.3,2.3,0.3,23.3,4.5,1.3,118.2,101.1,17.1,377,20.4,2.2,0.084,52,PG,195,22,Connecticut,10.99,-,3.22,26,31,11,0.124,-,-,72.5,74,97,75.75
Brandan Wright,UNC,37,27.4,6.2,9.5,0.646,0,0,0,2.4,4.2,0.567,1.6,1.5,2.1,4.1,6.2,1,1,1.8,14.7,0.637,0.646,121.3,8.8,15.8,12.5,6.7,12.1,2,6.4,22,-3.1,1.5,123.1,91.5,31.5,464.6,24.8,6.1,0.202,8,C/PF,210,19,North Carolina,11.76,-,3.31,30.5,35.5,2,0.058,-,-,80.75,82,108.5,87.75
Bradley Beal,UF,37,34.3,4.7,10.6,0.444,1.7,5.1,0.337,3.6,4.7,0.769,2.1,2.1,1.4,5.4,6.7,2.2,1.4,0.8,14.8,0.573,0.524,155,4.7,18.3,11.6,12.7,14.2,2.5,2.5,23,-2,1.4,115.2,95.5,19.7,431.9,21.1,8.5,0.152,3,SG,207,19,Florida,10.95,-,3.28,33,39,8,0.06,8.5,9,75.25,76.75,100,80
Travis Leslie,UGA,31,29.5,5.5,11.2,0.487,0.2,0.4,0.545,3.7,5,0.735,2.6,2.1,3.1,3.7,6.8,2.5,1.3,1,14.8,0.544,0.496,176.8,12.9,14.5,13.7,20.1,16.3,2.6,3.4,28.2,-3.3,1.3,110.6,101.6,8.9,354.6,23.6,0.1,0.06,47,SG,205,21,Georgia,11,-,3.13,33,40.5,10,0.081,8.75,9.25,75,76.25,103,82.5
Gani Lawal,GT,30,29.5,5.8,10.5,0.556,0,0,0,3.1,5.7,0.55,2.5,2.6,3.6,5.9,9.5,0.6,1,1.4,14.8,0.56,0.556,110.5,13.3,21.4,17.4,4.8,15.9,1.9,5,24.8,-6.4,1.4,105.8,92.9,12.9,363.9,21.9,0,-0.009,46,PF,234,21,Georgia Tech,11.61,-,3.24,27,31.5,20,0.063,8.5,10,79.5,81,107.5,84
Patty Mills,SMC,32,32.1,5,11.7,0.429,1.9,5.9,0.323,2.8,3.7,0.761,2.9,1.6,0.4,1.7,2.1,3.5,1.8,0.1,14.8,0.548,0.511,151.3,1.6,5.7,3.7,21.8,17.6,3.4,0.3,25.1,-1.7,1.3,107.1,93.9,13.2,254.6,17.4,5.6,0.175,55,PG,180,20,Saint Mary's,10.87,-,3.1,27.5,33,8,0.069,-,-,71.25,72.5,95,74
J.J. Hickson,NCST,31,28.8,5.3,8.9,0.591,0,0,0,4.3,6.3,0.677,2.7,1.9,2.6,5.9,8.5,1,0.7,1.5,14.8,0.621,0.591,126.8,11.6,22.1,17.3,9.2,18.4,1.5,4.8,26.8,-7.1,1.7,111.8,99.3,12.5,381.4,24.7,6.9,0.142,19,PF/C,242,19,NC State,,,,,,,,,,,,,
D.J. Strawberry,UMD,34,31.9,5.4,11.4,0.477,1,3,0.343,3,4.4,0.685,2.2,2.6,1.3,3.1,4.4,3.5,2,0.4,14.9,0.553,0.522,150.4,4.8,9.6,7.4,20.3,13.9,3.5,1.2,22.7,0.4,1.3,113.7,91.5,22.2,368.6,19.6,-0.2,-0.031,59,G,205,22,Maryland,,,,,,,,,,,,,
Cole Aldrich,KU,35,29.6,5.7,9.5,0.598,0,0,0,3.5,4.4,0.792,1.6,2.6,3,8,11.1,1,0.6,2.7,14.9,0.64,0.598,139,12.4,28.4,20.9,7.2,12.1,1.2,9.6,21.9,-3,1.6,128.3,85.7,42.6,580.2,28.9,3.5,0.209,11,C,250,21,Kansas,11.48,-,3.35,23,28,10,0.085,9,9.25,81,83.25,111.5,88.75
Spencer Hawes,UW,31,28.9,6.2,11.7,0.532,0,0.1,0.333,2.4,3.2,0.755,2.5,2.3,2,4.4,6.4,1.9,0.5,1.7,14.9,0.563,0.533,162,8,17.7,12.8,13.7,16,1,6,25.8,-3.9,1.3,110.8,103,7.8,332,20.9,4.5,0.096,10,C/PF,245,19,Washington,11.88,-,3.51,26,29,9,0.13,-,-,82,84.75,110,84.5
Derrick Rose,UM,40,29.2,5.2,10.9,0.477,0.9,2.6,0.337,3.6,5.1,0.712,2.7,1.7,1.4,3.2,4.5,4.7,1.2,0.4,14.9,0.56,0.517,152.6,5,11.6,8.3,30.4,16.7,2.4,1.3,26.1,1.6,1.4,115.2,90.7,24.5,453.4,22.6,13.1,0.208,1,PG,190,19,Memphis,11.69,-,3.05,34.5,40,10,0.046,-,-,73.5,74.5,98.5,80
T.J. Ford,UT,33,33.6,4.8,12,0.401,0.5,2.1,0.265,4.8,5.8,0.824,3.2,2.5,0.6,3.2,3.9,7.7,2,0.2,15,0.506,0.423,148.9,2,10.1,6.1,41.6,18,3.3,0.4,24.7,5.4,1.2,112.5,97,15.4,402.6,20.6,4.3,0.092,8,PG,165,20,Texas,11.45,-,3.2,32.5,39.5,0,0.067,-,-,71,,93.5,71.5
LaMarcus Aldridge,UT,37,33.7,5.9,10.4,0.569,0,0,0,3.2,4.9,0.646,1.6,2.5,3.6,8.2,11.8,0.5,1.4,2,15,0.589,0.569,121.5,10.4,20.4,15.7,3.3,11.1,2.4,6.5,21.2,-3.7,1.4,120,83.3,36.8,597.9,26,11.1,0.166,2,PF/C,260,20,Texas,12.02,-,3.43,26.5,34,8,0.087,-,-,82,83.25,110,88.75
Darius Morris,UM,35,34.8,5.7,11.7,0.489,0.5,1.8,0.25,3.1,4.3,0.715,2.9,2.1,0.9,3.1,4,6.7,1,0,15,0.545,0.509,145.4,3.2,10.9,7.1,44.3,17.6,2,0.1,27.3,4.8,1.3,111.8,100.5,11.3,405.1,21.5,0.2,0.016,41,SG,195,20,Michigan,11,-,3.2,24.5,32,12,0.053,8.75,10,75.25,77.25,102,79.5
Sonny Weems,U of A,34,31.4,5.8,12.5,0.464,1.6,4.3,0.37,1.8,2.2,0.803,2.8,2.2,1.6,2.8,4.5,2.6,1.3,0.2,15,0.552,0.527,163.6,6.2,10.2,8.2,17.2,17.2,2.5,0.8,25.3,-3.3,1.2,107.8,100.8,7,298.8,18.1,1.3,0.044,39,SF,205,21,Arkansas,10.58,-,2.96,29,36.5,12,0.044,-,-,76,77.5,104,82
DeMarcus Cousins,UK,38,23.5,5.4,9.7,0.56,0,0.2,0.167,4.3,7,0.607,2.1,3.2,4.1,5.8,9.9,1,1,1.8,15.1,0.581,0.561,133.3,19.7,25.1,22.5,9.2,13.8,2.4,7.5,30.5,-5.7,1.6,118.4,83.4,35,520.9,31.9,7.9,0.166,5,C,270,19,Kentucky,11.4,-,3.55,23.5,27.5,-,0.164,9.25,10,81.5,82.75,113,89.75
Luol Deng,DUKE,37,31.1,5.7,11.9,0.475,1.1,3,0.36,2.6,3.7,0.71,2.2,2.2,2.2,4.4,6.6,1.8,1.3,1.1,15.1,0.55,0.52,154.6,8.4,15.2,11.9,11.8,14.1,2.5,3.1,24.8,-3.1,1.3,112.7,92.1,20.6,409.5,20.7,11.3,0.176,7,SF,220,19,Duke,11.46,-,3.34,27.5,31.5,5,0.067,-,-,79,80,108.5,84.5
Chris Paul,WF,32,33.4,4.5,9.9,0.451,1.4,3,0.474,4.9,5.8,0.834,2.8,2.6,0.7,3.8,4.5,6.6,2.4,0,15.2,0.654,0.569,180.2,2.2,8.5,5.4,31.4,18.9,4.5,1.3,19.7,3.6,1.7,128.6,102.4,26.2,430.5,22.5,18.3,0.292,4,PG,175,20,Wake Forest,11.09,-,3.22,32,38,10,-%,-,-,71.75,73,93,76.25
Anthony Davis,APSU,29,35.4,5.7,13.9,0.407,1.1,3.8,0.284,2.9,3.8,0.755,2.2,2.3,1.5,3.9,5.4,2.8,1.7,0.6,15.2,0.654,0.628,148.3,11.3,24.2,18.2,7.5,8.6,2.5,13.8,18.8,-0.6,1.7,138.8,79.3,59.5,789.1,33.5,14,0.274,1,PF/C,253,19,Kentucky,-,-,-,-,-,-,0.079,9,8.5,81.25,82.5,108,89.5
Matt Bonner,UF,33,31.4,5.5,10.8,0.51,1.9,4,0.474,2.2,3.1,0.733,1.6,2.1,2.1,4,6.1,1.5,1.1,0.6,15.2,0.619,0.598,171.6,8.4,14.4,11.5,9.7,11.8,2,2,22.9,-2.1,1.4,122.4,95.8,26.6,378.6,22.3,6.8,0.169,45,PF/C,235,23,Florida,11.52,-,3.32,27,32,20,0.136,-,-,80.5,,105.5,80.75
Tony Mitchell,UA,37,31.5,6.2,11.8,0.522,0.8,2.6,0.316,2.1,3.2,0.658,1.7,2.4,2.6,4.5,7.1,1.3,1.6,1.1,15.2,0.573,0.557,149.6,9.8,16,13,9.8,11.5,3.1,3.9,24.7,-2.7,1.3,116.6,88.1,28.5,454.4,24.5,0.2,0.151,37,PF,240,21,North Texas,11.72,-,3.47,31.5,40,14,0.057,8.5,10,77.25,78.25,100,82
Tony Mitchell,UA,37,31.5,6.2,11.8,0.522,0.8,2.6,0.316,2.1,3.2,0.658,1.7,2.4,2.6,4.5,7.1,1.3,1.6,1.1,15.2,0.573,0.557,149.6,9.8,16,13,9.8,11.5,3.1,3.9,24.7,-2.7,1.3,116.6,88.1,28.5,454.4,24.5,0.2,0.151,37,PF,240,21,North Texas,11.72,-,3.47,31.5,40,14,0.0555,9,10,79.5,80.75,106.5,86.5
Tony Mitchell,UA,37,31.5,6.2,11.8,0.522,0.8,2.6,0.316,2.1,3.2,0.658,1.7,2.4,2.6,4.5,7.1,1.3,1.6,1.1,15.2,0.573,0.557,149.6,9.8,16,13,9.8,11.5,3.1,3.9,24.7,-2.7,1.3,116.6,88.1,28.5,454.4,24.5,0.2,0.151,37,PF,240,21,North Texas,11.82,3.25,3.52,33.5,38,13,0.057,8.5,10,77.25,78.25,100,82
Tony Mitchell,UA,37,31.5,6.2,11.8,0.522,0.8,2.6,0.316,2.1,3.2,0.658,1.7,2.4,2.6,4.5,7.1,1.3,1.6,1.1,15.2,0.573,0.557,149.6,9.8,16,13,9.8,11.5,3.1,3.9,24.7,-2.7,1.3,116.6,88.1,28.5,454.4,24.5,0.2,0.151,37,PF,240,21,North Texas,11.82,3.25,3.52,33.5,38,13,0.0555,9,10,79.5,80.75,106.5,86.5
Rudy Gay,UConn,33,30.8,5.7,12.3,0.461,0.8,2.7,0.318,3.1,4.2,0.732,2.3,2.3,2,4.4,6.4,2.1,1.8,1.6,15.2,0.533,0.495,151.1,7.3,13.7,10.8,12.8,14,3.2,4.6,25.1,-2.9,1.2,111.6,90,21.6,384.2,21.5,6.4,0.096,8,SF,230,19,Connecticut,11.03,-,3.32,33,40.5,9,0.057,-,-,79,80,107.5,87
Trevor Booker,CLEM,32,30.7,5.9,10.3,0.571,0.3,0.7,0.409,3.2,4.6,0.707,1.8,1.7,3.3,6.4,9.7,1.7,1.5,1.9,15.3,0.612,0.585,168.8,12.1,23.2,17.6,10.6,12.8,2.7,6.2,22.2,-2.2,1.5,125.7,90.1,35.5,524.6,28.3,4.3,0.132,23,PF,228,22,Clemson,11.15,-,3.1,31,36,22,0.073,9,9.5,78.25,79.5,106,81.75
Tobias Harris,UT,34,29.2,5.4,11.8,0.46,0.7,2.2,0.303,3.8,5,0.753,1.8,2.1,2,5.2,7.2,1.3,0.7,0.9,15.3,0.54,0.489,151.6,7.6,20.7,14,10.4,11.4,1.4,3.4,27.3,-3.3,1.3,112.4,98.3,14.1,356.2,22.2,6.8,0.128,19,PF,235,18,Tennessee,10.96,-,3.17,31.5,37.5,12,0.084,8.75,9,78.5,79.75,103.5,83
Jason Maxiell,UC,33,31.4,5,9.2,0.541,0.1,0.2,0.4,5.3,8.3,0.645,1.9,2.5,3.2,4.5,7.6,0.8,1,2.7,15.3,0.551,0.502,118.2,11.9,16.2,14.1,13.5,10.9,1.8,16.6,29.8,-2.7,1.4,121.6,114.6,7.1,373.4,28.4,6.3,0.171,26,PF,260,22,Cincinnati,-,-,-,-,-,-,-%,-,-,77,78.25,107,87.25
Daniel Ewing,DUKE,33,34.5,5.5,12.8,0.427,2.1,6,0.347,2.2,3.2,0.692,3,3,0.7,2.5,3.2,4,2,0.4,15.3,,,,,,,,,,,,,,,,,,,0.5,0.033,32,G,185,22,Duke,,,,,,,,,,,,,
Jerome Jordan,TU,35,29.8,5.3,9.6,0.549,0,0,0,4.9,7.1,0.688,2.3,2.8,2.4,6.7,9.1,1.3,0.5,2.3,15.4,0.629,0.586,132.3,11.3,25,18.6,8.8,18,0.9,10.2,26.2,-6.9,1.6,115.7,86.4,29.3,448,27.8,1.2,0.156,44,C,253,23,Tulsa,-,-,-,-,-,-,0.069,9,10.25,83.5,84.75,113,89.25
Will Blalock,ISU,30,35.8,5.9,13.2,0.447,1.6,3.9,0.398,2,3,0.659,3,1.8,0.8,3.1,3.9,6.1,2.2,0.1,15.4,0.525,0.506,150.5,2.1,8.8,5.3,31.2,16.8,3.5,0.2,23.2,3,1.2,104.6,100.4,4.1,358.1,18.7,-0.1,-0.032,60,G,200,22,Iowa State,11.08,-,3.18,35,40,8,0.072,-,-,71.25,72.5,96.5,78
Mike Taylor,ISU,26,32.2,5,13.6,0.365,2.3,6.7,0.345,3.2,4.6,0.689,5.3,2.9,0.8,3.5,4.3,4.5,1.2,0.1,15.4,,,,,,,,,,,,,,,,,,,-0.4,-0.028,,,,,,,,,,,,,,,,,,
