Player,Team_x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,WS,WS/48,Pick,Pos,Weight,Age,Pre-Draft Team,Agility,Shuttle Run,Sprint,Standing Vertical,Max Vertical Leap,Max Bench Press,Body Fat Percentage,Hand Length,Hand Width,Heightw/oshoesinches,Heightw/shoesinches,Standing_Reach_inches,Wingspan_inches
Terrence Williams,U of L,37,34.2,4.6,10.6,0.431,1.5,4,0.385,1.8,3.2,0.581,2.3,1.7,1.4,7.2,8.6,5,2.3,0.8,12.5,0.517,0.504,139.7,4.5,22.7,13.8,27,16.1,3.9,2.3,20.7,2.9,1.2,109.8,83,26.8,557.6,21.4,0.3,0.029,11,SG,220,21,Louisville,11.15,-,3.18,30.5,37,9,0.051,-,-,77,78.25,103.5,81
Robert Sacre,GU,35,25.8,3.9,8.1,0.488,0,0,0,4.7,5.7,0.823,2.1,2.7,2.5,3.9,6.3,1.1,0.8,1.9,12.5,0.582,0.488,131.1,11.9,17,14.6,8.7,16.6,1.8,8.5,25.2,-5.3,1.6,115.6,91.9,23.7,351.5,23,1.4,0.061,60,C,270,23,Gonzaga,,,,,,,,,,,,,
Von Wafer,FSU,29,26.1,4.3,9.8,0.437,2.2,5.7,0.396,1.7,2.3,0.721,1.7,1.1,0.2,2.4,2.6,1.7,1,0.2,12.5,0.572,0.551,155.4,0.8,10.2,5.7,14.2,13.4,2.4,1.1,24.6,-2.2,1.3,109.6,103.4,6.2,199.8,17.9,2.6,0.103,39,SG,210,19,Florida State,,,,,,,,,,,,,
Dion Waiters,SU,37,23.9,4.6,9.6,0.476,1.1,3,0.375,2.3,3.2,0.729,1.4,1.9,0.5,1.8,2.3,2.5,1.8,0.4,12.6,0.565,0.535,158,2.4,8.2,5.4,21.4,10.8,4.5,1.7,26.9,1.3,1.3,117.8,92.8,25,308.8,25.3,2.1,0.046,4,SG,220,20,Syracuse,-,-,-,-,-,-,0.085,8.5,9.5,74.5,76,98,79.25
Austin Daye,GU,34,26.3,4.7,9.8,0.477,1.1,2.5,0.429,2.3,3.2,0.706,2.2,2.9,1.1,5.8,6.9,1.1,0.7,2.1,12.7,0.594,0.529,176.9,4.7,23.5,14.7,11.4,16.1,2,10,28.8,-5.5,1.4,112.6,84.8,27.8,259.9,25.4,2.1,0.07,15,SF/PF,220,21,Gonzaga,12.11,-,3.55,25,28,0,0.055,-,-,81.75,82.75,110,86.75
Lorenzo Brown,NCST,37,34.3,4.5,9.9,0.45,0.7,2.1,0.351,3.1,4.2,0.729,3.2,1.6,0.8,3.8,4.5,6.3,1.8,0.5,12.7,0.533,0.486,152.9,2.6,12.1,7.5,35,21.1,3.1,1.6,22,3,1.3,107.1,98.6,8.4,441.9,19.3,0.3,0.025,52,SG,189,22,NC State,11.78,3.24,3.4,28,34,8,0.0395,8.25,8.5,76,77.25,100,79
Corey Brewer,UF,39,28.1,4.4,9.4,0.468,1.1,3.1,0.35,2.8,3.7,0.769,2.8,2.5,1.3,3.6,4.9,3.3,1.6,0.4,12.7,0.572,0.53,153.2,4.9,13.5,9.6,18.7,17.8,3.8,1.4,24.8,-1.9,1.4,113.1,91.1,22,369.4,21.2,5.2,0.095,7,SF,186,21,Florida,11.69,-,3.22,30.5,36.5,11,0.042,-,-,78,79.75,103,80.25
Tyler Honeycutt,UCLA,33,35,4.4,10.8,0.406,1.7,4.6,0.362,2.4,3.2,0.736,3,1.6,1.5,5.7,7.2,2.8,0.9,2,12.8,0.519,0.483,150.3,5.3,17.9,12,16.9,19.8,1.5,5.4,22.4,-3.3,1.2,99.7,95.5,4.1,368,16.4,0,0.013,35,SF,190,20,UCLA,11.68,-,3.07,30,37,-,0.053,8.5,9.5,78.75,80.25,105,81
Glen Rice,GT,31,28.5,4.7,11.2,0.418,1.4,4.5,0.302,2.1,3.3,0.637,2.3,2.4,1.9,3.7,5.6,2.5,1.5,0.4,12.8,0.502,0.478,135.7,7,16.3,11.3,20.4,15.2,3,1.6,25.9,-2,1.1,101.7,96.2,5.6,271.2,18.2,-0.1,-0.043,,,,,,,,,,,,,,,,,,
Justin Hamilton,LSU,33,30,4.8,9.7,0.494,0.1,0.4,0.25,3.2,4.2,0.781,1.7,2.5,3.3,3.9,7.2,0.9,0.8,1.3,12.9,0.553,0.498,152.5,11.8,15.3,13.5,7,12.9,1.5,4.7,22.6,-3.8,1.3,113,94.8,18.2,339.9,21.7,2.1,0.084,45,C,255,22,LSU,11.18,-,3.18,30,37.5,17,0.08,-,-,75,,103,83
Raymond Felton,UNC,36,31.7,4.2,9.2,0.455,1.9,4.4,0.44,2.6,3.7,0.701,3.6,2,0.6,3.7,4.3,6.9,2,0.3,12.9,0.589,0.561,159.6,2.3,11.4,7.2,34.3,24.7,3.4,1,20.4,2.8,1.4,113.6,93.1,20.5,456.5,18,6.5,0.118,5,PG,205,21,North Carolina,10.5,-,3.06,29,33.5,6,-%,-,-,71.5,72.25,98,76.25
David Noel,UNC,31,33.7,5.1,9.6,0.532,1.3,3,0.424,1.5,2.3,0.625,3.1,2.7,2.5,6.3,8.7,3.5,1.1,0.7,12.9,0.604,0.598,158.1,7,15.6,11.6,18.8,22.5,1.8,2.1,19,-2.2,1.3,108,93.3,14.7,397.8,17.8,0.4,0.024,39,SF,230,22,North Carolina,10.54,-,3.07,34.5,38.5,20,0.061,-,-,76.5,78,100,81.5
